,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30
0,Mevsimlik Ürünler Hariç TÜFE,3.3453924019845926,2.4628305173752363,2.6005699445932784,1.959964265753511,1.530711112382055
1,TÜFE B,3.4927562505306042,2.785546477111156,2.1659618884539933,1.8720150937453717,1.4620819057574064
2,TÜFE C,3.149327236976207,2.907897242901858,2.301470678639328,1.9318085904534765,1.6750084221382133
3,TÜFE D,3.6599180618993365,2.40171873558348,2.4502960602983848,1.9029291152174999,1.497512697782999
4,TÜFE E,3.3942738268602612,3.0748744796987637,2.568543192824846,1.7250003045197193,1.6188430273408994
5,TÜFE F,3.905905392767983,3.540364449514888,2.2303613121249732,1.5087133198148805,1.689220578078876
6,Mallar,3.5919431313646166,3.653897695646835,2.3615577329129334,1.4995211067499348,1.11199579752006
7,Enerji,4.687495577400136,0.06917912296824369,4.2251124742375135,2.0920823354499962,1.7141122005017717
8,Gıda ve alkolsüz içecekler,3.3360494973046606,4.696250295931059,2.412895232131418,1.1672429300738418,1.4679248123292687
9,Taze meyve ve sebze,-0.04941177861182977,12.006215205083116,2.4192107512949645,-1.2344106162386126,1.892909316535607
10,İşlenmemiş gıda,1.3609300499315635,8.34433610304901,3.4434108091410787,0.4212080854218536,2.5213267718697807
11,Diğer işlenmemiş gıda,2.803643251539545,4.702365218289528,4.533100628759756,2.147069873833951,3.156571785955009
12,İşlenmiş Gıda,4.626370112720202,2.387384211476684,1.7227380287510918,1.6753290925716202,0.7590798213827687
13,Ekmek ve tahıllar,4.550601668799725,1.7728502838821436,1.4623162845975868,0.5436099163436792,0.9067478713103982
14,Diğer işlenmiş gıda,4.643177130558662,2.523580030916861,1.7800312618215797,1.9235320514519705,0.727174247818585
15,Enerji ve gıda dışı mallar,3.4254555493257843,4.049870950417178,1.704893761101256,1.5686218490789106,0.620661630627195
16,Temel mallar,3.7975448739174578,3.2991118116178386,1.7728592587509695,1.701885521788915,0.6841507878632802
17,Giyim ve ayakkabı,4.759496679226216,6.797295863689556,1.0468106654137,-0.11669034304317982,0.3556474622131267
18,Dayanıklı Mallar (altın hariç),1.6354795656139176,1.1863172149654044,2.5827355298394528,2.6190389330566832,0.9287688974424002
19,Diğer Temel Mallar,7.324073386537644,3.8734075523835454,0.9763676664453103,1.8381198568022894,0.5426750407366399
20,"Alkollü içecekler, tütün ve altın",0.8750570895117882,9.344856052826046,1.2520474373367563,0.6761340546548755,0.19170421523393433
21,Hizmet,2.3717436751026,2.432071178463868,2.949851832142647,2.2106020870158005,2.87261351617345
22,Kira,4.220782643345533,3.6610983570637856,4.304349252975359,1.7413321069215781,0.575427856248556
23,Lokanta ve oteller,3.5612199213408413,1.0735711278161642,4.20115185401011,4.6716797922879305,4.393456924967576
24,Ulaştırma hizmetleri,6.30885978701452,1.3583024910661878,5.361557168319209,0.6303108363094667,15.077449834317424
25,Haberleşme hizmetleri,-1.3700262441556643,-2.2837859713732978,-3.5407054805593807,0.005503952456398231,0.0
26,Diğer hizmetler,-1.629945299332658,5.732407981231469,1.095528921186384,0.06514747058503634,1.55872162679489
27,TÜFE,3.820181580895321,3.160646807184442,2.661613380402561,1.7756414951038524,1.595961465874396
